Id,SalePrice
1461,167228.31605435378
1462,167228.31605435378
1463,255784.49554170878
1464,255784.49554170878
1465,210831.87587720068
1466,255784.49554170878
1467,255784.49554170878
1468,255784.49554170878
1469,167228.31605435378
1470,255784.49554170878
1471,255784.49554170878
1472,123855.52350735059
1473,167228.31605435378
1474,167228.31605435378
1475,167228.31605435378
1476,323087.325218865
1477,278134.7055543569
1478,255784.49554170878
1479,210831.87587720068
1480,255784.49554170878
1481,255784.49554170878
1482,210831.87587720068
1483,255784.49554170878
1484,255784.49554170878
1485,255784.49554170878
1486,255784.49554170878
1487,255784.49554170878
1488,210831.87587720068
1489,278134.7055543569
1490,255784.49554170878
1491,210831.87587720068
1492,167228.31605435378
1493,255784.49554170878
1494,210831.87587720068
1495,210831.87587720068
1496,255784.49554170878
1497,210831.87587720068
1498,203603.55982284684
1499,210831.87587720068
1500,210831.87587720068
1501,167228.31605435378
1502,210831.87587720068
1503,278134.7055543569
1504,210831.87587720068
1505,210831.87587720068
1506,210831.87587720068
1507,167228.31605435378
1508,210831.87587720068
1509,210831.87587720068
1510,210831.87587720068
1511,203603.55982284684
1512,210831.87587720068
1513,56874.08270721143
1514,278134.7055543569
1515,167228.31605435378
1516,167228.31605435378
1517,167228.31605435378
1518,167228.31605435378
1519,210831.87587720068
1520,210831.87587720068
1521,210831.87587720068
1522,167228.31605435378
1523,167228.31605435378
1524,167228.31605435378
1525,167228.31605435378
1526,167228.31605435378
1527,167228.31605435378
1528,167228.31605435378
1529,210831.87587720068
1530,210831.87587720068
1531,123855.52350735059
1532,162685.48824318894
1533,167228.31605435378
1534,167228.31605435378
1535,167228.31605435378
1536,167228.31605435378
1537,167228.31605435378
1538,167228.31605435378
1539,167228.31605435378
1540,210831.87587720068
1541,167228.31605435378
1542,167228.31605435378
1543,167228.31605435378
1544,119081.92842034204
1545,167228.31605435378
1546,167228.31605435378
1547,167228.31605435378
1548,119081.92842034204
1549,207638.10790769703
1550,167228.31605435378
1551,167228.31605435378
1552,167228.31605435378
1553,210831.87587720068
1554,167228.31605435378
1555,167228.31605435378
1556,123855.52350735059
1557,203603.55982284684
1558,167228.31605435378
1559,210831.87587720068
1560,75709.13587333885
1561,210831.87587720068
1562,167228.31605435378
1563,167228.31605435378
1564,255784.49554170878
1565,167228.31605435378
1566,210831.87587720068
1567,167228.31605435378
1568,255784.49554170878
1569,210831.87587720068
1570,167228.31605435378
1571,167228.31605435378
1572,255784.49554170878
1573,278134.7055543569
1574,123855.52350735059
1575,210831.87587720068
1576,210831.87587720068
1577,210831.87587720068
1578,167228.31605435378
1579,167228.31605435378
1580,210831.87587720068
1581,167228.31605435378
1582,167228.31605435378
1583,210831.87587720068
1584,255784.49554170878
1585,255784.49554170878
1586,159999.99999999994
1587,234531.14573151004
1588,210831.87587720068
1589,119081.92842034204
1590,167228.31605435378
